soilOrganic_avg,soilSand_avg,soilSilt_avg,soilClay_avg,soilCoarse_avg,soilPH_avg,exchangeCapacity_avg,baseSaturation_avg,N_avg,S_avg,P_avg,Ca_ppm_avg,Mg_ppm_avg,K_ppm_avg,Na_ppm_avg,percent_Ca_avg,percent_Mg_avg,percent_K_avg,percent_Na_avg,percent_Othr_avg,percent_H_avg,B_ppm_avg,Fe_ppm_avg,Mn_ppm_avg,Cu_ppm_avg,Zn_ppm_avg,Al_ppm_avg,Density_avg,Ca_over_Mg_ppm_avg,OBSERVATION_ID,Author_Observation_Code
3.175,97,2.52,0.48,,4.55,8.42625,34.075,51.33333333,35,20.875,424.465,109.91375,51.9175,37.415,21.17,9.51625,1.41125,1.975,9.2,62.66666667,0.57,37.66666667,14.6925,0.2125,2.89875,58.33333333,0.9925,3.803077086,642,001-00-0201
1.8,97,1.16,1.84,,5.606666667,13.63,73.1,47.5,68,39,1350.88,219.94,71.09333333,64.75333333,54.81666667,14.54666667,1.486666667,2.246666667,7.2,42,1.2,354,8.776666667,0.19,4.223333333,203,1.083333333,6.291801802,643,001-00-0202
0.5375,,,,,4.51,3.76,40.7,,,8.75,153.88,45.01,19.265,14.24,24.67,12.415,1.6275,2.01,,,,,8.8375,0.2475,1.5275,,1.215,3.4,644,001-01-0201
2.636666667,94,4.16,1.84,,5.536666667,22.34666667,74.63333333,53,97,45,2434.453333,349.32,66.6,35.99,58.62666667,14.32666667,0.886666667,0.803333333,6.2,27,1.84,167,38.77,0.206666667,5.286666667,86,1.126666667,7.007755102,645,001-01-0202
1.32,95,3.16,1.84,,4.48,3.255,30.4,32.5,48,16,136.325,20.4,14.885,19.06,21.125,5.26,1.385,2.655,8.2,53,0.61,294,1.16,0.17,0.5,711,1.15,6.65483871,646,001-01-0203
1.08,,,,,4.7,10.96,40.1,,,7,267.2,182.87,85.65,260.55,12.77,14.42,2.1,10.86,,,,,1.33,0.19,2.38,,1.05,1.46,647,001-01-0204
4.295,98,0.16,1.84,,4.265,4.94,31.2,56,43,28,195.28,42.505,21.86,22.45,20.55,7.43,1.18,2.06,8.6,57,1.09,64,3.945,0.19,1.205,292,0.95,4.666836735,648,001-01-0205
0.665,,,,,4.1525,2.6775,21.675,17,20,11.75,61.9,16.7475,7.3625,12.5,13.0325,5.5975,0.8675,2.17,9.2,63,0.51,16,0.6375,0.125,0.4725,44.5,1.3125,3.934827586,649,001-01-0206
0.83,98,1.52,0.48,,4.7425,2.81,35.975,24.25,28.5,15.5,66.22,48.5475,15.595,34.235,11.605,16.1225,1.9075,6.3225,8.2,53,0.68,97,0.9175,0.1225,0.5175,70.5,1.3,1.251447811,650,001-01-0207
2.045,98,1.52,0.48,,4.1675,7.2075,35.225,41.5,31.5,19.25,280.0475,85.0075,18.845,34.55,21.3525,10.7725,0.8,2.2975,9.1,62,0.62,78,2.645,0.1375,1.68,118,1.1225,3.38683584,651,001-01-0208
3.246666667,98,0.16,1.84,,3.963333333,9.003333333,30.26666667,58,38,14.33333333,258.0466667,120.8,27.09333333,48.44,14.74,11.94666667,0.923333333,2.676666667,9.4,65,1.25,62,3.763333333,0.206666667,2.186666667,92,1.1,2.047307692,652,001-01-0209
45.75,,,,,3.955,17.6,32.7,70,85,23,2345,687.905,259.43,510.455,18.57,9.44,1.035,3.66,9.2,63,1.1,122,1.68,0.765,3.77,187,0.145,3.232608696,653,001-01-0210
1.1075,97,2.52,0.48,,5.145,6.1975,55.5,28.5,30.5,24.25,447.4725,88.975,22.38,15.285,39.1125,13.72,1.2325,1.435,7.6,46.5,0.75,80.5,25.2375,0.1275,2.235,95.5,1.2475,4.712431649,654,001-01-0211
3.574285714,97,2.52,0.48,,5.741428571,17.95,75.55714286,56,72.33333333,26.42857143,2359.824286,47.53142857,33.43428571,40.58571429,71.63571429,2.345714286,0.504285714,1.074285714,6.733333333,35,1.156666667,351,1.794285714,0.234285714,4.861428571,114.6666667,1.042857143,50.71627111,655,001-01-0212
3.991428571,97,2.52,0.48,,4.27,5.608571429,28.8,45,34.66666667,21.57142857,190.5828571,67,47.28571429,25.96714286,15.57714286,9.014285714,1.957142857,2.262857143,9.066666667,61.66666667,0.596666667,53.33333333,10.03571429,0.162857143,1.355714286,63,1.008571429,2.851900413,656,001-01-0213
1.2125,97,2.52,0.48,,4.215,3.955,26.2,28,35,29.75,112.505,36.1,12.19,14.1625,15.3825,8.195,0.9425,1.6725,9.2,63,0.45,221.5,33.2,0.1525,1.5075,241,1.19,3.091283784,657,001-01-0214
0.32,,,,,5.19,3.51,63.5,,,13,283.75,55.92,13.84,14.24,45.58,14.81,1.14,1.99,,,,,37.35,0.35,0.8,,1.13,5.07,658,001-01-0215
41.69,,,,,4.185,35.905,42.65,70,325,48.5,1076.24,1357.455,363,3008.98,7.515,15.65,1.285,18.215,9.4,65,1.11,75,4.545,0.7,4.08,452,0.255,0.801045752,659,001-01-0216
28.96666667,,,,,3.556666667,14.27666667,22.9,70,87,17,635.9533333,367.8733333,245.05,176.9733333,9.513333333,9.2,1.686666667,2.5,10.6,71,0.66,55,5.49,0.41,4.126666667,169,0.31,1.707070707,660,001-01-0217
1.48,,,,,4.085,8.48,22.65,,,2,187.145,115.865,127.645,126.265,7.8,8.27,2.59,3.98,,,,,1.59,0.19,2.05,,0.795,1.58,661,001-01-0218
1.5,,,,,3.945,7.065,24.05,35,48,20,121.73,74.14,33.985,62.32,9.14,9.515,1.425,3.945,9.4,65,1.42,127,0.905,0.215,1.675,106,1.195,1.59511236,662,001-01-0219
27.38666667,,,,,4.796666667,33.11666667,60.83333333,70,241,31.66666667,7350.413333,339.5266667,98.53333333,298.1,54.38333333,4.153333333,0.373333333,1.916666667,8.8,59,1.45,810,27.48,0.49,24.77666667,87,0.243333333,21.72223629,663,001-01-0220
5.65,,,,,4.6,12.57,38.8,2.825,18.5,35.5,716,124.5,36,51.5,27.915,8.23,0.8,1.84,8.2,53,0.745,142,6,0.025,4,113.5,0.925,5.644974227,665,001-01-0222
0.51,,,,,5.415,4.85,59.85,,,9.75,212.5525,127.9825,32.2525,82.7525,24.6675,24.6725,1.99,8.53,,,,,9.65,0.3025,1.5125,,1.1525,1.625,666,001-02-0201
1.0875,,,,,4.945,11.9725,63.7,,,25.5,1261.7575,123.3225,50.9075,26.08,51.7325,9.3375,1.3525,1.2775,,,,,19.6125,0.265,4.0775,,1.135,8.925,667,001-02-0202
1.16,,,,,4.69,12.65,62.35,,,29.5,1174.39,258.73,88.29,70.45,43.1,15.66,1.66,2.25,,,,,9.35,0.32,5.48,,0.93,4.54,668,001-02-0203
1.87,97,1.16,1.84,,5.21,14.305,62.35,41,63,65,1172.15,122.585,35.535,22.705,52.17,8.645,0.765,0.765,8,51,1.5,109,13.75,0.175,5.44,89,1.15,9.760394737,669,001-02-0204
