Plot,Plot_Size,Stem_Inference_Area_for_Saplings,Stem_Inference_Area_for_Trees,MinimumTreeSize,TreeData,PlotTotalDensity,PlotTotalBA,Tree data complete,Physiognomy,Tree Cover,Tree Height,Tree Leaf Type,Tree Phenology,Shrub Cover,Shrub Height,Shrub Leaf Type,Shrub Phenology,Herb Cover,Herb Height,Herb Life Form,Herb Growth Habit,Bryophyte Cover,Bryophyte Life Form,Elevation,Aspect,Slope,CEC,pH,OM,N,S,P,Ca,Mg,CaMgRatio,K,Na,B,Fe,Mn,Cu,Zn,Al,Base Saturation,FertilityIndex,Latitude,Longitude,UTMN,UTME,UTM Zone,Location Method,Estimated Accuracy
ALBE006P,400,400,400,,Yes,3275,35.64182053,TRUE,Forest,80,22,Broad - leaved,Deciduous,40,3,Broad - leaved,Evergreen,5,0.1-0.2,Woody Seedling,Deciduous Woody,8,Mixed,523,14,26,11.27000046,4.5,5.019999981,100,38,46,120,39,3.076923132,37,10,0.430000007,184,5,0.649999976,1.519999981,1100,9.479999542,1.068395972,375452.776,784424.648,4198754,698648,17,GPS,Confident computed pos. within 25 m of true pos.
ALLE003,400,400,400,,Yes,2975,87.53766995,TRUE,Forest,,,Broad - leaved,Deciduous,,,Broad - leaved,Deciduous,,,Mixed,Perennial Herb,,,648,228,2,28.45000076,7.300000191,6.679999828,108,57,14,5302,192,27.61458397,114,12,1.019999981,170,141,8.829999924,18.22999954,667,100,28.45000076,375206.78,795649.452,4191753,592611,17,GPS,Confident computed pos. within 25 m of true pos.
AMHE001,1000,1000,1000,,Yes,2090,34.31746231,TRUE,Forest,80,35,Broad - leaved,Deciduous,50,,Broad - leaved,Deciduous,10,,Forb,Perennial Herb,1,Bryophyte,223,225,6,8.93999958,5.099999905,4.099999905,91,22,12,484,115,4.208695889,77,7,0.300000012,84,98,0.899999976,1.590000033,923,40.38000107,3.609972,373320.2284,790428.56,4158254,670068,17,GPS,Confident computed pos. 25-100m from true pos.
AMHE002,1000,1500,1500,,Yes,647,45.36125133,TRUE,Forest,80,36,Broad - leaved,Deciduous,2,,Broad - leaved,Deciduous,3,,Mixed,Deciduous Woody,1,Mixed,226,25,10,9.039999962,4.400000095,4.820000172,98,34,15,137,49,2.795918465,56,9,0.280000001,117,106,1.100000024,2.109999895,1074,14.09000015,1.273736,373325.6608,790419.6608,4158426,670283,17,GPS,Confident computed pos. within 25 m of true pos.
AMHE003,1000,1000,1000,,Yes,2940,26.38087242,TRUE,Forest,70,,Broad - leaved,Deciduous,40,,Broad - leaved,Deciduous,5,,Woody Seedling,Deciduous Woody,2,Mixed,246,310,6,11.15999985,4.400000095,5.699999809,103,33,21,91,38,2.394736767,58,8,0.239999995,200,8,0.349999994,1.549999952,1113,8.579999924,0.957527995,373408.8284,790507.4004,4159733,669085,17,GPS,Confident computed pos. within 25 m of true pos.
AMHE004,1000,1000,1000,,Yes,1360,45.14262165,TRUE,Forest,80,26,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,40,<1,Pteridophyte,Perennial Herb,1,Bryophyte,293,75,20,12.64000034,5.599999905,6.369999886,107,18,26,1197,221,5.416289806,263,7,0.560000002,75,71,1.120000005,1.480000019,993,67.47000122,8.528207779,373303.5604,790605.3208,4157692,667704,17,GPS,Confident computed pos. within 25 m of true pos.
ANTI001P,1000,1000,1000,,Yes,1110,24.17839539,TRUE,Woodland,40,30,Needle - leaved,Evergreen,10,,Broad - leaved,Deciduous,60,,Ericad,Deciduous Woody,,,11,flat,,1.039999962,4.699999809,0.769999981,31,18,12,140,33,4.242424011,10,8,0.709999979,141,10,0.460000008,0.430000007,134,100,1.039999962,365006.6408,765058.4088,4078185,335071,18,GPS,Confident computed pos. within 25 m of true pos.
ANTI002P,1000,1000,1000,,Yes,2930,28.65262025,TRUE,Forest,40,25,Broad - leaved,Deciduous,20,4,Broad - leaved,Mixed Deciduous,30,0.2-0.5,Ericad,Deciduous Woody,1,Bryophyte,9,310,3,4.909999847,4.199999809,1.649999976,53,21,130,101,27,3.740740776,11,10,0.560000002,305,8,0.479999989,0.629999995,549,16.25,0.797874987,364938.208,765115.768,4077317,334624,18,GPS,Confident computed pos. within 25 m of true pos.
BBNR011,100,100,100,,Yes,900,0.035814157,TRUE,Herbaceous,,,,,,,,,80,,Graminoid,Perennial Herb,,,4,flat,,20.25,4.5,65.16999817,130,70,44,485,391,1.240409255,93,343,0.620000005,278,3,0.819999993,2.599999905,457,45,9.112500191,363806,755342.324,4054756,419978,18,GPS,Confident computed pos. within 25 m of true pos.
BBNR015,400,400,400,,Yes,575,6.442699878,TRUE,Woodland,15,,Needle - leaved,Evergreen,25,,Broad - leaved,Evergreen,5,,Mixed,Perennial Herb,,,0,flat,2,26.35000038,5.300000191,35.84000015,130,172,75,975,709,1.375176311,169,887,1.110000014,151,3,1.090000033,2.890000105,396,64,16.86400032,363823.388,755447.7,4055307,418360,18,topo map,Confident computed pos. 100-250m from true pos.
BBNR020,100,100,100,,Yes,7600,0.203653745,TRUE,Shrubland / Sparse Shrubland,,,,,40,,Broad - leaved,Mixed Deciduous,50,,Mixed,Perennial Herb,,,3,flat,,1.190000057,6.699999809,0.100000001,4,10,7,102,52,1.961538434,17,22,0.5,50,3,0.670000017,1.070000052,67,95.5,1.136450052,363952.704,755432.292,4058056,418769,18,GPS,Confident computed pos. within 25 m of true pos.
BBNR032,100,10,10,,Yes,194000,10.01304124,TRUE,Shrubland / Sparse Shrubland,,,,,80,,Broad - leaved,Mixed Evergreen,15,,Graminoid,Perennial Herb,,,2,flat,,17.5,4,17.61000061,129,49,33,245,248,0.987903237,72,231,0.709999979,488,1,1.080000043,3.650000095,1022,35,6.125,363755.776,755347.544,4054442,419846,18,GPS,Confident computed pos. within 25 m of true pos.
